date,ridership Barrie,total_train_trips Barrie
2020-11-23,1053,29
2020-11-24,1090,29
2020-11-25,1077,29
2020-11-26,1095,29
2020-11-27,1036,29
2020-11-30,1064,29
2020-12-01,1110,29
2020-12-02,1090,29
2020-12-03,1097,29
2020-12-04,1070,29
2020-12-05,289,29
2020-12-06,266,28
2020-12-07,1063,29
2020-12-08,1039,28
2020-12-09,1074,28
2020-12-10,1086,28
2020-12-11,1062,28
2020-12-12,275,29
2020-12-13,248,27
2020-12-14,1003,28
2020-12-15,1070,28
2020-12-16,1049,28
2020-12-17,1067,28
2020-12-18,972,28
2020-12-19,268,29
2020-12-20,246,28
2020-12-21,880,29
2020-12-22,855,29
2020-12-23,828,29
2020-12-24,554,29
2020-12-25,192,29
2020-12-26,277,29
2020-12-27,198,20
2020-12-28,258,28
2020-12-29,572,29
2020-12-30,582,29
2020-12-31,478,28
2021-01-01,180,28
2021-01-02,217,29
2021-01-03,217,29
2021-01-04,841,28
2021-01-05,889,29
2021-01-06,872,29
2021-01-07,890,29
2021-01-08,867,29
2021-01-09,220,29
2021-01-10,211,29
2021-01-11,939,29
2021-01-12,932,29
2021-01-13,940,29
2021-01-14,821,29
2021-01-15,729,29
2021-01-16,191,28
2021-01-17,149,28
2021-01-18,730,29
2021-01-19,810,29
2021-01-20,751,29
2021-01-21,788,29
2021-01-22,756,29
2021-01-25,742,21
2021-01-26,778,21
2021-01-27,758,21
2021-01-28,718,21
2021-01-29,690,21
2021-02-01,728,21
2021-02-02,725,21
2021-02-03,714,21
2021-02-04,763,21
2021-02-05,715,21
2021-02-08,716,21
2021-02-09,742,21
2021-02-10,720,21
2021-02-11,738,21
2021-02-12,702,21
2021-02-16,744,21
2021-02-17,798,21
2021-02-18,813,21
2021-02-19,760,21
2021-02-22,825,21
2021-02-23,807,21
2021-02-24,825,21
2021-02-25,830,21
2021-02-26,832,21
2021-03-01,797,17
2021-03-02,822,21
2021-03-03,817,21
2021-03-04,820,21
2021-03-05,766,21
2021-03-08,873,21
2021-03-09,937,21
2021-03-10,888,21
2021-03-11,933,21
2021-03-12,880,21
2021-03-15,545,17
2021-03-16,942,21
2021-03-17,900,21
2021-03-18,913,19
2021-03-19,851,21
2021-03-22,917,21
2021-03-23,919,21
2021-03-24,944,21
2021-03-25,959,21
2021-03-26,840,21
2021-03-29,889,21
2021-03-30,942,21
2021-03-31,887,21
2021-04-01,951,21
2021-04-05,661,21
2021-04-06,896,21
2021-04-07,847,21
2021-04-08,794,21
2021-04-09,749,21
2021-04-12,762,21
2021-04-13,757,21
2021-04-14,790,21
2021-04-15,750,21
2021-04-16,675,21
2021-04-19,708,21
2021-04-20,700,21
2021-04-21,678,21
2021-04-22,675,21
2021-04-23,651,21
2021-04-26,684,21
2021-04-27,723,21
2021-04-28,713,21
2021-04-29,707,21
2021-04-30,649,19
2021-05-03,738,21
2021-05-04,756,21
2021-05-05,720,21
2021-05-06,750,21
2021-05-07,722,21
2021-05-10,760,21
2021-05-11,783,21
2021-05-12,761,21
2021-05-13,776,21
2021-05-14,728,21
2021-05-17,775,21
2021-05-18,796,21
2021-05-19,774,21
2021-05-20,758,20
2021-05-21,790,19
2021-05-25,844,21
2021-05-26,799,21
2021-05-27,836,21
2021-05-28,740,17
2021-05-31,829,21
2021-06-01,835,21
2021-06-02,865,21
2021-06-03,863,21
2021-06-04,856,21
2021-06-07,852,19
2021-06-08,882,21
2021-06-09,955,21
2021-06-10,993,21
2021-06-11,941,21
2021-06-14,881,19
2021-06-15,1008,21
2021-06-16,994,21
2021-06-17,1055,21
2021-06-18,1000,21
2021-06-21,1024,21
2021-06-22,1087,21
2021-06-23,1070,21
2021-06-24,1073,21
2021-06-25,965,18
2021-06-28,1057,19
2021-06-29,1076,21
2021-06-30,1183,21
2021-07-02,815,21
2021-07-05,1116,19
2021-07-06,1120,19
2021-07-07,1133,21
2021-07-08,1113,21
2021-07-09,1186,21
2021-07-10,432,10
2021-07-11,350,10
2021-07-12,1146,21
2021-07-13,1221,21
2021-07-14,1284,21
2021-07-15,1253,21
2021-07-16,1225,21
2021-07-17,398,10
2021-07-18,428,10
2021-07-19,1229,21
2021-07-20,1246,21
2021-07-21,1349,21
2021-07-22,1301,21
2021-07-23,1323,21
2021-07-24,469,10
2021-07-25,486,10
2021-07-26,1281,21
2021-07-27,1335,21
2021-07-28,1389,21
2021-07-29,1345,21
2021-07-30,1440,21
2021-07-31,580,10
2021-08-01,462,10
2021-08-02,603,10
2021-08-03,1355,18
2021-08-04,1520,21
2021-08-05,1484,20
2021-08-06,1418,21
2021-08-09,1589,29
2021-08-10,1578,29
2021-08-11,1684,29
2021-08-12,1702,29
2021-08-13,1657,29
2021-08-14,1140,24
2021-08-15,897,30
2021-08-16,1696,29
2021-08-17,1728,29
2021-08-18,1731,29
2021-08-19,1826,29
2021-08-20,1813,29
2021-08-21,1084,30
2021-08-22,1012,30
2021-08-23,1675,29
2021-08-24,1828,26
2021-08-25,1680,25
2021-08-26,1951,29
2021-08-27,1820,29
2021-08-28,1068,30
2021-08-29,815,28
2021-08-30,1821,29
2021-08-31,1882,29
2021-09-01,2066,29
2021-09-02,1918,29
2021-09-03,1940,28
2021-09-04,1252,30
2021-09-05,938,30
2021-09-06,881,30
2021-09-07,2124,36
2021-09-08,2115,36
2021-09-09,2185,36
2021-09-10,2068,36
2021-09-11,1064,30
2021-09-12,752,29
2021-09-13,2245,36
2021-09-14,2435,35
2021-09-15,2343,30
2021-09-16,2427,36
2021-09-17,2130,35
2021-09-18,1057,30
2021-09-19,933,29
2021-09-20,2207,36
2021-09-21,2353,36
2021-09-22,2279,34
2021-09-23,2413,35
2021-09-24,2339,36
2021-09-25,1006,30
2021-09-26,841,30
2021-09-27,2328,36
2021-09-28,2585,36
2021-09-29,2610,36
2021-09-30,2380,36
2021-10-01,2313,36
2021-10-03,586,12
2021-10-04,2432,36
2021-10-05,2611,35
2021-10-06,2699,36
2021-10-07,2637,36
2021-10-08,2462,34
2021-10-09,1173,30
2021-10-10,1079,30
2021-10-11,1178,30
2021-10-12,2719,36
2021-10-13,2838,36
2021-10-14,2732,36
2021-10-15,2308,36
2021-10-16,1096,30
2021-10-17,800,30
2021-10-18,2500,36
2021-10-19,2841,36
2021-10-20,2841,35
2021-10-21,2814,34
2021-10-22,2457,33
2021-10-23,1254,30
2021-10-24,912,28
2021-10-25,2415,36
2021-10-26,2716,36
2021-10-27,3008,34
2021-10-28,2802,35
2021-10-29,2416,34
2021-10-30,1157,30
2021-10-31,815,30
2021-11-01,2445,36
2021-11-02,2947,36
2021-11-03,2975,36
2021-11-04,3019,36
2021-11-05,2501,36
2021-11-06,1217,30
2021-11-07,926,30
2021-11-08,2547,36
2021-11-09,2992,36
2021-11-10,3005,36
2021-11-11,2532,36
2021-11-12,2435,36
2021-11-13,1095,30
2021-11-14,765,30
2021-11-15,2622,36
2021-11-16,3112,36
2021-11-17,3077,36
2021-11-18,3164,36
2021-11-19,2579,36
2021-11-20,1051,30
2021-11-21,761,30
2021-11-22,2636,36
2021-11-23,3092,36
2021-11-24,3219,36
2021-11-25,3161,36
2021-11-26,2524,36
2021-11-27,1015,30
2021-11-28,961,30
2021-11-29,2707,36
2021-11-30,3227,36
2021-12-01,3332,36
2021-12-02,3176,36
2021-12-03,2545,36
2021-12-04,916,30
2021-12-05,847,30
2021-12-06,2569,36
2021-12-07,3046,36
2021-12-08,3120,36
2021-12-09,2947,36
2021-12-10,2504,36
2021-12-11,1055,30
2021-12-12,745,30
2021-12-13,2587,36
2021-12-14,2779,36
2021-12-15,2447,36
2021-12-16,2438,36
2021-12-17,1957,36
2021-12-18,842,30
2021-12-19,659,30
2021-12-20,1677,36
2021-12-21,1628,36
2021-12-22,1589,36
2021-12-23,1495,36
2021-12-24,1031,35
2021-12-25,304,30
2021-12-26,500,30
2021-12-27,678,30
2021-12-28,786,30
2021-12-29,965,36
2021-12-30,904,36
2021-12-31,776,36
2022-01-01,515,29
2022-01-02,672,30
2022-01-03,621,30
2022-01-04,1201,36
2022-01-05,1075,36
2022-01-06,1082,36
2022-01-07,1002,36
2022-01-08,423,30
2022-01-09,387,30
2022-01-10,1032,29
2022-01-11,946,29
2022-01-12,1036,29
2022-01-13,1036,29
2022-01-14,1042,29
2022-01-15,373,30
2022-01-16,414,30
2022-01-17,754,27
2022-01-18,998,26
2022-01-19,1221,26
2022-01-20,1210,26
2022-01-21,1112,26
2022-01-24,1245,26
2022-01-25,1295,26
2022-01-26,1236,26
2022-01-27,1363,26
2022-01-28,1237,26
2022-01-31,1452,26
2022-02-01,1621,26
2022-02-02,1596,26
2022-02-03,1421,26
2022-02-04,1549,26
2022-02-07,1850,26
2022-02-08,1851,26
2022-02-09,1784,26
2022-02-10,1981,26
2022-02-11,1769,26
2022-02-14,1936,26
2022-02-15,2120,26
2022-02-16,2079,26
2022-02-17,2035,26
2022-02-18,1741,26
2022-02-22,2084,26
2022-02-23,2281,26
2022-02-24,2202,26
2022-02-25,1864,26
2022-02-28,2687,26
2022-03-01,2892,26
2022-03-02,2910,26
2022-03-03,2833,26
2022-03-04,2421,26
2022-03-07,2802,26
2022-03-08,3165,26
2022-03-09,3315,26
2022-03-10,3112,26
2022-03-11,2625,26
2022-03-14,2973,26
2022-03-15,3209,26
2022-03-16,3381,26
2022-03-17,3495,26
2022-03-18,2868,26
2022-03-21,2926,26
2022-03-22,3458,26
2022-03-23,3176,26
2022-03-24,3437,26
2022-03-25,2683,26
2022-03-28,2996,26
2022-03-29,3449,26
2022-03-30,3433,26
2022-03-31,3442,26
2022-04-01,2531,26
2022-04-04,3202,24
2022-04-05,3693,24
2022-04-06,3847,24
2022-04-07,3484,24
2022-04-08,2701,24
2022-04-11,3032,24
2022-04-12,3706,24
2022-04-13,3739,24
2022-04-14,3353,24
2022-04-18,2185,24
2022-04-19,3346,24
2022-04-20,3479,24
2022-04-21,3184,24
2022-04-22,2483,24
2022-04-25,2791,24
2022-04-26,3646,24
2022-04-27,3657,24
2022-04-28,3776,24
2022-04-29,2688,24
2022-05-02,3147,24
2022-05-03,3844,24
2022-05-04,3987,24
2022-05-05,3908,24
2022-05-06,2886,24
2022-05-09,3407,24
2022-05-10,4227,24
2022-05-11,4240,24
2022-05-12,4016,24
2022-05-13,2748,24
2022-05-16,2928,24
2022-05-17,4573,24
2022-05-18,4645,24
2022-05-19,4238,24
2022-05-20,2825,24
2022-05-21,1764,30
2022-05-22,2101,30
2022-05-23,1406,30
2022-05-24,4432,30
2022-05-25,4913,30
2022-05-26,4725,30
2022-05-27,3148,30
2022-05-28,1877,30
2022-05-29,1561,30
2022-05-30,3725,30
2022-05-31,4826,30
2022-06-01,5201,30
2022-06-02,5129,30
2022-06-03,3343,30
2022-06-06,3938,30
2022-06-07,4924,30
2022-06-08,5562,30
2022-06-09,5195,30
2022-06-10,3422,30
2022-06-11,2414,30
2022-06-12,1576,30
2022-06-13,4534,30
2022-06-14,5706,30
2022-06-15,5819,30
2022-06-16,5675,28
2022-06-17,3686,29
2022-06-18,3118,30
2022-06-19,2638,30
2022-06-20,4284,30
2022-06-21,5472,28
2022-06-22,5898,28
2022-06-23,5617,30
2022-06-24,3665,30
2022-06-25,2749,30
2022-06-26,2592,30
2022-06-27,4616,30
2022-06-28,5939,30
2022-06-29,5768,30
2022-06-30,4482,30
2022-07-01,2944,30
2022-07-02,3562,30
2022-07-03,2696,30
2022-07-04,3846,30
2022-07-05,5058,30
2022-07-06,5417,30
2022-07-07,5034,30
2022-07-08,3741,30
2022-07-09,2852,30
2022-07-10,2031,30
2022-07-11,4287,30
2022-07-12,5611,30
2022-07-13,5599,30
2022-07-14,5399,30
2022-07-15,3577,30
2022-07-16,3449,28
2022-07-17,2945,30
2022-07-18,3846,30
2022-07-19,5394,28
2022-07-20,5583,30
2022-07-21,5292,30
2022-07-22,2876,25
2022-07-23,2811,26
2022-07-24,1817,30
2022-07-25,4081,30
2022-07-26,5362,30
2022-07-27,5871,30
2022-07-28,5201,30
2022-07-29,3713,30
2022-07-30,4211,30
2022-07-31,3643,30
2022-08-01,1871,30
2022-08-02,5002,30
2022-08-03,5354,30
2022-08-04,4884,30
2022-08-05,3414,30
2022-08-06,2816,30
2022-08-07,2055,30
2022-08-08,4359,30
2022-08-09,5445,30
2022-08-10,5832,30
2022-08-11,5262,30
2022-08-12,3632,30
2022-08-13,3695,22
2022-08-14,2911,22
2022-08-15,4527,30
2022-08-16,5923,30
2022-08-17,6279,30
2022-08-18,5320,30
2022-08-19,3702,30
2022-08-20,3257,22
2022-08-21,2502,22
2022-08-22,4079,30
2022-08-23,5902,30
2022-08-24,6123,30
2022-08-25,5599,30
2022-08-26,4439,30
2022-08-27,4962,22
2022-08-28,4045,20
2022-08-29,4505,29
2022-08-30,5489,35
2022-08-31,6293,30
2022-09-01,5383,30
2022-09-02,3846,30
2022-09-03,3089,22
2022-09-04,2893,22
2022-09-05,2241,22
2022-09-06,6736,30
2022-09-07,6910,30
2022-09-08,7456,30
2022-09-09,4962,28
2022-09-12,6518,30
2022-09-13,8355,30
2022-09-14,8195,30
2022-09-15,7973,30
2022-09-16,5076,30
2022-09-17,2673,20
2022-09-18,2335,22
2022-09-19,6149,30
2022-09-20,8181,30
2022-09-21,8112,30
2022-09-22,7794,30
2022-09-23,5089,30
2022-09-24,2520,30
2022-09-25,1593,30
2022-09-26,6154,30
2022-09-27,7769,30
2022-09-28,8293,30
2022-09-29,7432,30
2022-09-30,4430,28
2022-10-01,3282,22
2022-10-02,2932,22
2022-10-03,6244,30
2022-10-04,7784,30
2022-10-05,7813,30
2022-10-06,7733,30
2022-10-07,5459,30
2022-10-08,3054,20
2022-10-09,2215,21
2022-10-10,1744,22
2022-10-11,6866,32
2022-10-12,7265,32
2022-10-13,6790,32
2022-10-14,4080,32
2022-10-15,1883,25
2022-10-16,1735,30
2022-10-17,6249,32
2022-10-18,8140,32
2022-10-19,8038,32
2022-10-20,7703,32
2022-10-21,4829,32
2022-10-22,2457,30
2022-10-23,1932,30
2022-10-24,6015,32
2022-10-25,7959,32
2022-10-26,8132,32
2022-10-27,7701,32
2022-10-28,4753,32
2022-10-29,2032,29
2022-10-30,1347,29
2022-10-31,5678,32
2022-11-01,8070,32
2022-11-02,8776,32
2022-11-03,7863,32
2022-11-04,4858,32
2022-11-05,2789,30
2022-11-06,2018,30
2022-11-07,5752,32
2022-11-08,7733,32
2022-11-09,7637,30
2022-11-10,7196,32
2022-11-11,3846,32
2022-11-12,2371,30
2022-11-13,1856,30
2022-11-14,6222,32
2022-11-15,8017,32
2022-11-16,7823,32
2022-11-17,7662,32
2022-11-18,4594,32
2022-11-19,2272,30
2022-11-20,1904,26
2022-11-21,5959,32
2022-11-22,8033,32
2022-11-23,8061,32
2022-11-24,7202,32
2022-11-25,4602,32
2022-11-26,2419,30
2022-11-27,1543,30
2022-11-28,6176,32
2022-11-29,7953,32
2022-11-30,7999,32
2022-12-01,7782,32
2022-12-02,4770,32
2022-12-03,1992,30
2022-12-04,1631,30
2022-12-05,5953,32
2022-12-06,7500,30
2022-12-07,7878,32
2022-12-08,7544,32
2022-12-09,4448,32
2022-12-10,2651,30
2022-12-11,1914,30
2022-12-12,5637,32
2022-12-13,7687,32
2022-12-14,7771,32
2022-12-15,4934,29
2022-12-16,3575,29
2022-12-19,4576,32
2022-12-20,5905,32
2022-12-21,5297,32
2022-12-22,4679,32
2022-12-23,1852,29
2022-12-24,1605,30
2022-12-25,855,24
2022-12-26,1667,30
2022-12-27,2358,30
2022-12-28,2740,32
2022-12-29,2876,32
2022-12-30,2485,32
2022-12-31,1788,30
