date,ridership Lakeshore East OSHAWA GO,total_train_trips Lakeshore East OSHAWA GO
2019-01-01,2623,36
2019-01-02,11969,56
2019-01-03,13387,57
2019-01-04,12218,52
2019-01-05,3981,35
2019-01-06,2750,34
2019-01-07,15185,45
2019-01-08,15572,57
2019-01-09,15026,55
2019-01-10,15210,57
2019-01-11,15018,55
2019-01-12,3989,35
2019-01-13,2227,36
2019-01-14,15905,56
2019-01-15,15610,57
2019-01-16,15701,56
2019-01-17,15986,55
2019-01-18,14897,57
2019-01-19,4956,29
2019-01-20,3336,30
2019-01-21,11959,46
2019-01-22,15360,49
2019-01-23,16046,56
2019-01-24,15692,54
2019-01-25,14979,56
2019-01-26,4294,30
2019-01-27,3050,30
2019-01-28,15091,53
2019-01-29,10894,54
2019-01-30,15408,42
2019-01-31,14223,41
2019-02-01,14714,56
2019-02-02,4165,35
2019-02-03,2862,36
2019-02-04,15993,55
2019-02-05,12151,29
2019-02-06,14650,55
2019-02-07,15481,57
2019-02-08,14416,57
2019-02-09,3392,36
2019-02-10,2558,36
2019-02-11,16303,56
2019-02-12,9947,43
2019-02-13,14216,55
2019-02-14,15871,54
2019-02-15,14919,56
2019-02-16,4806,35
2019-02-17,3038,28
2019-02-18,3890,35
2019-02-19,15726,56
2019-02-20,15994,51
2019-02-21,16024,57
2019-02-22,15239,56
2019-02-23,4849,28
2019-02-24,2982,26
2019-02-25,15287,57
2019-02-26,16276,54
2019-02-27,15317,38
2019-02-28,15314,55
2019-03-01,15145,56
2019-03-02,4604,36
2019-03-03,3646,36
2019-03-04,14695,37
2019-03-05,15806,60
2019-03-06,15532,57
2019-03-07,16130,60
2019-03-08,15530,60
2019-03-09,4641,36
2019-03-10,2971,36
2019-03-11,14903,57
2019-03-12,15193,60
2019-03-13,15852,59
2019-03-14,15789,60
2019-03-15,14852,60
2019-03-16,5566,36
2019-03-17,3887,36
2019-03-18,15449,60
2019-03-19,15623,60
2019-03-20,16305,59
2019-03-21,15433,60
2019-03-22,14908,60
2019-03-23,4566,36
2019-03-24,3276,36
2019-03-25,15957,60
2019-03-26,16185,60
2019-03-27,16014,59
2019-03-28,17465,60
2019-03-29,16151,59
2019-03-30,5458,36
2019-03-31,3217,36
2019-04-01,15868,60
2019-04-02,16730,60
2019-04-03,16440,59
2019-04-04,16195,59
2019-04-05,14605,59
2019-04-06,5233,36
2019-04-07,3250,36
2019-04-08,15238,59
2019-04-09,15775,59
2019-04-10,15551,59
2019-04-11,15698,60
2019-04-12,15051,60
2019-04-13,5878,35
2019-04-14,3172,36
2019-04-15,15807,60
2019-04-16,15917,59
2019-04-17,16621,60
2019-04-18,15001,60
2019-04-19,3177,18
2019-04-20,3384,32
2019-04-21,4349,36
2019-04-22,12183,61
2019-04-23,17037,51
2019-04-24,16557,60
2019-04-25,15588,61
2019-04-26,15325,61
2019-04-27,5980,34
2019-04-28,3712,36
2019-04-29,15311,61
2019-04-30,15514,61
2019-05-01,15391,61
2019-05-02,15475,60
2019-05-03,14693,61
2019-05-04,4775,36
2019-05-05,3301,36
2019-05-06,15759,61
2019-05-07,16623,60
2019-05-08,16340,58
2019-05-09,15819,60
2019-05-10,15303,59
2019-05-11,5869,36
2019-05-12,4640,36
2019-05-13,15279,60
2019-05-14,15940,61
2019-05-15,16655,60
2019-05-16,15638,61
2019-05-17,13483,61
2019-05-18,4282,36
2019-05-19,3703,36
2019-05-20,4211,37
2019-05-21,16731,60
2019-05-22,16442,61
2019-05-23,16648,61
2019-05-24,15752,60
2019-05-25,6481,35
2019-05-26,5384,35
2019-05-27,15304,61
2019-05-28,16958,57
2019-05-29,16141,60
2019-05-30,16822,61
2019-05-31,14848,61
2019-06-01,4633,36
2019-06-02,4591,36
2019-06-03,15903,59
2019-06-04,16064,60
2019-06-05,16113,60
2019-06-06,16836,61
2019-06-07,16634,56
2019-06-08,5362,36
2019-06-09,4133,37
2019-06-10,17838,61
2019-06-11,16491,60
2019-06-12,16229,60
2019-06-13,16813,61
2019-06-14,15207,61
2019-06-15,5222,36
2019-06-16,4465,36
2019-06-17,25144,61
2019-06-18,16865,60
2019-06-19,17432,61
2019-06-20,16777,60
2019-06-21,15059,51
2019-06-22,7775,36
2019-06-23,6258,36
2019-06-24,15687,59
2019-06-25,16589,61
2019-06-26,17122,59
2019-06-27,16439,60
2019-06-28,13453,61
2019-06-29,5632,36
2019-06-30,4855,36
2019-07-01,5120,37
2019-07-02,15215,61
2019-07-03,16350,59
2019-07-04,16502,61
2019-07-05,14806,58
2019-07-06,5609,36
2019-07-07,5811,35
2019-07-08,15903,60
2019-07-09,16089,57
2019-07-10,16735,61
2019-07-11,17552,61
2019-07-12,14911,61
2019-07-13,6042,36
2019-07-14,5539,37
2019-07-15,15238,50
2019-07-16,16403,61
2019-07-17,17398,61
2019-07-18,16892,61
2019-07-19,14335,60
2019-07-20,5565,36
2019-07-21,4239,36
2019-07-22,16085,61
2019-07-23,17344,61
2019-07-24,16881,61
2019-07-25,16134,61
2019-07-26,16720,60
2019-07-27,8495,36
2019-07-28,5591,37
2019-07-29,15578,61
2019-07-30,16024,61
2019-07-31,16826,61
2019-08-01,16458,61
2019-08-02,13124,62
2019-08-03,8572,36
2019-08-04,4436,35
2019-08-05,4371,37
2019-08-06,15761,60
2019-08-07,16536,61
2019-08-08,16549,60
2019-08-09,15504,62
2019-08-10,8328,36
2019-08-11,5607,37
2019-08-12,15987,61
2019-08-13,17603,61
2019-08-14,18243,59
2019-08-15,16313,60
2019-08-16,17881,61
2019-08-17,8341,36
2019-08-18,6533,36
2019-08-19,17132,60
2019-08-20,18075,61
2019-08-21,16863,60
2019-08-22,18189,60
2019-08-23,18070,61
2019-08-24,12578,36
2019-08-25,7715,37
2019-08-26,17353,60
2019-08-27,16759,61
2019-08-28,18961,61
2019-08-29,18797,60
2019-08-30,16663,61
2019-08-31,10379,36
2019-09-01,7287,35
2019-09-02,6831,36
2019-09-03,15519,60
2019-09-04,16891,62
2019-09-05,18430,62
2019-09-06,18552,63
2019-09-07,5029,35
2019-09-08,3197,36
2019-09-09,17131,62
2019-09-10,18086,62
2019-09-11,17874,62
2019-09-12,18633,62
2019-09-13,16925,62
2019-09-14,5630,36
2019-09-15,4950,36
2019-09-16,16937,62
2019-09-17,17556,62
2019-09-18,17524,62
2019-09-19,18145,62
2019-09-20,17164,62
2019-09-21,6147,36
2019-09-22,3895,36
2019-09-23,17189,62
2019-09-24,17842,62
2019-09-25,18983,62
2019-09-26,17675,62
2019-09-27,17844,62
2019-09-28,8227,36
2019-09-29,4959,36
2019-09-30,16787,62
2019-10-01,17208,61
2019-10-02,17834,62
2019-10-03,17809,62
2019-10-04,16499,61
2019-10-05,6130,37
2019-10-06,4399,36
2019-10-07,17390,62
2019-10-08,17867,56
2019-10-09,17968,62
2019-10-10,18135,62
2019-10-11,15248,62
2019-10-12,4241,36
2019-10-13,4622,36
2019-10-14,5150,36
2019-10-15,18103,61
2019-10-16,16881,62
2019-10-17,17180,61
2019-10-18,16275,62
2019-10-19,6783,35
2019-10-20,4352,36
2019-10-21,17310,62
2019-10-22,17428,62
2019-10-23,17704,61
2019-10-24,17932,62
2019-10-25,16323,62
2019-10-28,17206,62
2019-10-29,18295,62
2019-10-30,18191,60
2019-10-31,16466,61
2019-11-01,16062,62
2019-11-02,4781,35
2019-11-03,3547,36
2019-11-04,16884,61
2019-11-05,18167,62
2019-11-06,18253,62
2019-11-07,18565,60
2019-11-08,16139,61
2019-11-09,5674,36
2019-11-10,3579,36
2019-11-11,12664,61
2019-11-12,17441,53
2019-11-13,17551,62
2019-11-14,17367,60
2019-11-15,16530,61
2019-11-16,4520,30
2019-11-17,5084,36
2019-11-18,17187,62
2019-11-19,16538,61
2019-11-20,17955,62
2019-11-21,17460,62
2019-11-22,16721,62
2019-11-23,5389,35
2019-11-24,3535,36
2019-11-25,17307,62
2019-11-26,18064,62
2019-11-27,17585,61
2019-11-28,17308,62
2019-11-29,16448,61
2019-11-30,6104,36
2019-12-01,3937,36
2019-12-02,15726,61
2019-12-03,17610,61
2019-12-04,18136,61
2019-12-05,18626,61
2019-12-06,16055,61
2019-12-07,5536,36
2019-12-08,3211,36
2019-12-09,16759,61
2019-12-10,17536,62
2019-12-11,17583,62
2019-12-12,17108,61
2019-12-13,16020,63
2019-12-14,4865,28
2019-12-15,3401,36
2019-12-16,16365,61
2019-12-17,17469,62
2019-12-18,16347,61
2019-12-19,16021,62
2019-12-20,15415,61
2019-12-21,5634,35
2019-12-22,4146,36
2019-12-23,11672,62
2019-12-24,6494,58
2019-12-25,2708,36
2019-12-26,4255,36
2019-12-27,7434,60
2019-12-28,5409,36
2019-12-29,3567,36
2019-12-30,10187,62
2019-12-31,16013,112
2020-01-01,2353,36
2020-01-02,11702,61
2020-01-03,11370,61
2020-01-04,4707,36
2020-01-05,2708,36
2020-01-06,16895,62
2020-01-07,17086,62
2020-01-08,17179,61
2020-01-09,16586,62
2020-01-10,15619,62
2020-01-11,3747,36
2020-01-12,2645,31
2020-01-13,16585,61
2020-01-14,17737,62
2020-01-15,16945,62
2020-01-16,17610,61
2020-01-17,15822,60
2020-01-18,5241,34
2020-01-19,3103,37
2020-01-20,16380,61
2020-01-21,16960,62
2020-01-22,17378,59
2020-01-23,17151,62
2020-01-24,15937,62
2020-01-25,4668,35
2020-01-26,3130,35
2020-01-27,16414,62
2020-01-28,17319,61
2020-01-29,16787,62
2020-01-30,16455,62
2020-01-31,15979,62
2020-02-01,4891,36
2020-02-02,3176,33
2020-02-03,17101,61
2020-02-04,16507,62
2020-02-05,17282,62
2020-02-06,15976,62
2020-02-07,16080,62
2020-02-08,4402,36
2020-02-09,2905,37
2020-02-10,16785,62
2020-02-11,17416,62
2020-02-12,17147,62
2020-02-13,17664,62
2020-02-14,15025,62
2020-02-15,4720,36
2020-02-16,3550,36
2020-02-17,4070,36
2020-02-18,16486,62
2020-02-19,16959,61
2020-02-20,17477,62
2020-02-21,16987,62
2020-02-22,5713,36
2020-02-23,4318,36
2020-02-24,16613,62
2020-02-25,16863,60
2020-02-26,15105,61
2020-02-27,15468,57
2020-02-28,15711,62
2020-02-29,4097,26
2020-03-01,2804,36
2020-03-02,16467,58
2020-03-03,16986,61
2020-03-04,17079,62
2020-03-05,16610,62
2020-03-06,15112,60
2020-03-07,4767,36
2020-03-08,2812,36
2020-03-09,15606,56
2020-03-10,16379,62
2020-03-11,15391,62
2020-03-12,14428,62
2020-03-13,10553,63
2020-03-14,1795,37
2020-03-15,1248,36
2020-03-16,5501,62
2020-03-17,3594,62
2020-03-18,2659,39
2020-03-19,2179,39
2020-03-20,1729,40
2020-03-21,372,18
2020-03-22,275,18
2020-03-23,1436,40
2020-03-24,1179,39
2020-03-25,1028,40
2020-03-26,941,40
2020-03-27,866,40
2020-03-28,202,18
2020-03-29,157,17
2020-03-30,914,40
2020-03-31,862,40
2020-04-01,856,40
2020-04-02,821,40
2020-04-03,714,39
2020-04-04,183,18
2020-04-05,167,18
2020-04-06,670,40
2020-04-07,650,39
2020-04-08,602,20
2020-04-09,619,20
2020-04-10,145,18
2020-04-11,138,17
2020-04-12,122,18
2020-04-13,448,19
2020-04-14,615,20
2020-04-15,564,20
2020-04-16,576,20
2020-04-17,525,20
2020-04-18,178,18
2020-04-19,145,18
2020-04-20,573,20
2020-04-21,536,20
2020-04-22,592,20
2020-04-23,555,20
2020-04-24,529,20
2020-04-25,206,18
2020-04-26,126,18
2020-04-27,602,20
2020-04-28,575,20
2020-04-29,529,20
2020-04-30,570,20
2020-05-01,592,20
2020-05-02,214,18
2020-05-03,225,18
2020-05-04,590,19
2020-05-05,589,20
2020-05-06,599,20
2020-05-07,589,20
2020-05-08,578,20
2020-05-09,187,18
2020-05-10,209,18
2020-05-11,627,20
2020-05-12,650,20
2020-05-13,627,20
2020-05-14,608,20
2020-05-15,591,20
2020-05-16,337,18
2020-05-17,191,18
2020-05-18,207,18
2020-05-19,736,20
2020-05-20,774,20
2020-05-21,761,20
2020-05-22,735,20
2020-05-23,373,18
2020-05-24,293,17
2020-05-25,895,22
2020-05-26,843,22
2020-05-27,762,22
2020-05-28,705,22
2020-05-29,696,22
2020-05-30,440,18
2020-05-31,369,18
2020-06-01,815,22
2020-06-02,758,22
2020-06-03,766,22
2020-06-04,871,22
2020-06-05,790,22
2020-06-06,513,18
2020-06-07,441,18
2020-06-08,839,22
2020-06-09,856,22
2020-06-10,823,22
2020-06-11,831,22
2020-06-12,909,22
2020-06-13,550,18
2020-06-14,515,18
2020-06-15,945,22
2020-06-16,981,22
2020-06-17,980,22
2020-06-18,950,22
2020-06-19,980,22
2020-06-20,711,18
2020-06-21,697,18
2020-06-22,1040,22
2020-06-23,970,22
2020-06-24,1090,22
2020-06-25,1070,22
2020-06-26,1161,22
2020-06-27,679,18
2020-06-28,727,18
2020-06-29,1200,21
2020-06-30,1246,22
2020-07-01,850,18
2020-07-02,1222,22
2020-07-03,1214,21
2020-07-04,912,18
2020-07-05,780,18
2020-07-06,1256,22
2020-07-07,1170,22
2020-07-08,1096,22
2020-07-09,1105,22
2020-07-10,1103,22
2020-07-11,678,18
2020-07-12,726,18
2020-07-13,971,22
2020-07-14,978,22
2020-07-15,1034,22
2020-07-16,891,22
2020-07-17,1189,22
2020-07-18,983,17
2020-07-19,718,18
2020-07-20,1068,22
2020-07-21,1015,22
2020-07-22,940,22
2020-07-23,1083,22
2020-07-24,1232,22
2020-07-25,1016,18
2020-07-26,889,18
2020-07-27,1035,22
2020-07-28,1159,22
2020-07-29,1106,22
2020-07-30,1229,22
2020-07-31,1372,22
2020-08-01,1199,18
2020-08-02,770,18
2020-08-03,879,18
2020-08-04,1162,22
2020-08-05,1281,21
2020-08-06,1375,22
2020-08-07,1463,22
2020-08-08,1234,18
2020-08-09,983,18
2020-08-10,1326,22
2020-08-11,1226,22
2020-08-12,2374,22
2020-08-13,2383,22
2020-08-14,2435,22
2020-08-15,1643,18
2020-08-16,1255,18
2020-08-17,2226,22
2020-08-18,2477,22
2020-08-19,2499,22
2020-08-20,2517,22
2020-08-21,2515,22
2020-08-22,1609,18
2020-08-23,1352,18
2020-08-24,2338,22
2020-08-25,2525,22
2020-08-26,2577,22
2020-08-27,2470,22
2020-08-28,2629,22
2020-08-29,1504,18
2020-08-30,1349,18
2020-08-31,2511,22
2020-09-01,2637,22
2020-09-02,2502,22
2020-09-03,2760,22
2020-09-04,2704,22
2020-09-05,1591,19
2020-09-06,1416,19
2020-09-07,1186,19
2020-09-08,2619,33
2020-09-09,2756,33
2020-09-10,2785,33
2020-09-11,2948,33
2020-09-12,1583,19
2020-09-13,1144,19
2020-09-14,2625,33
2020-09-15,2667,33
2020-09-16,2793,33
2020-09-17,2754,33
2020-09-18,2771,33
2020-09-19,342,1
2020-09-20,685,8
2020-09-21,2669,33
2020-09-22,2740,33
2020-09-23,2690,33
2020-09-24,2713,33
2020-09-25,2779,33
2020-09-26,1447,19
2020-09-27,1205,19
2020-09-28,2552,32
2020-09-29,2649,33
2020-09-30,2626,33
2020-10-01,2623,33
2020-10-02,2503,33
2020-10-03,1250,19
2020-10-04,935,19
2020-10-05,2437,33
2020-10-06,2524,33
2020-10-07,2526,33
2020-10-08,2584,33
2020-10-09,2462,33
2020-10-10,1034,19
2020-10-11,930,19
2020-10-12,1001,19
2020-10-13,2618,33
2020-10-14,2543,33
2020-10-15,2438,33
2020-10-16,2413,33
2020-10-17,1135,19
2020-10-18,875,19
2020-10-19,2342,33
2020-10-20,2459,33
2020-10-21,2398,32
2020-10-22,2437,33
2020-10-23,2430,33
2020-10-24,978,15
2020-10-25,915,19
2020-10-26,2379,33
2020-10-27,2489,33
2020-10-28,2505,33
2020-10-29,2510,33
2020-10-30,2390,33
2020-10-31,1079,19
