date,ridership Lakeshore West ALDERSHOT GO,total_train_trips Lakeshore West ALDERSHOT GO
2019-01-01,3321,35
2019-01-02,7745,34
2019-01-03,9647,34
2019-01-04,8787,33
2019-01-05,5827,33
2019-01-06,4136,34
2019-01-07,10110,29
2019-01-08,9965,34
2019-01-09,9597,33
2019-01-10,8961,32
2019-01-11,11105,31
2019-01-12,6068,33
2019-01-13,3036,35
2019-01-14,10882,34
2019-01-15,9147,32
2019-01-16,9423,33
2019-01-17,10838,34
2019-01-18,10424,33
2019-01-19,7598,30
2019-01-20,4642,32
2019-01-21,5733,28
2019-01-22,9752,29
2019-01-23,10261,29
2019-01-24,10288,33
2019-01-25,9861,34
2019-01-26,5743,26
2019-01-27,3759,27
2019-01-28,9150,29
2019-01-29,5644,31
2019-01-30,9101,27
2019-01-31,9971,32
2019-02-01,9913,34
2019-02-02,6047,32
2019-02-03,4251,34
2019-02-04,10195,33
2019-02-05,10110,26
2019-02-06,8631,33
2019-02-07,9618,34
2019-02-08,9417,34
2019-02-09,4811,34
2019-02-10,3571,34
2019-02-11,9981,34
2019-02-12,4942,33
2019-02-13,9804,34
2019-02-14,10352,32
2019-02-15,10847,34
2019-02-16,7507,32
2019-02-17,4153,25
2019-02-18,5103,31
2019-02-19,10035,33
2019-02-20,9735,30
2019-02-21,10889,32
2019-02-22,10671,31
2019-02-23,7677,28
2019-02-24,4802,27
2019-02-25,10637,32
2019-02-26,10752,29
2019-02-27,9834,25
2019-02-28,9599,30
2019-03-01,9964,31
2019-03-02,6794,35
2019-03-03,5539,36
2019-03-04,9749,31
2019-03-05,9857,36
2019-03-06,9452,36
2019-03-07,10493,35
2019-03-08,11292,35
2019-03-09,6882,35
2019-03-10,4409,34
2019-03-11,10721,36
2019-03-12,10127,34
2019-03-13,11344,35
2019-03-14,11560,35
2019-03-15,11740,36
2019-03-16,8172,35
2019-03-17,6702,34
2019-03-18,9637,34
2019-03-19,9983,36
2019-03-20,11912,36
2019-03-21,9639,35
2019-03-22,10642,36
2019-03-23,6870,34
2019-03-24,5161,35
2019-03-25,10358,36
2019-03-26,10195,36
2019-03-27,9962,36
2019-03-28,12590,35
2019-03-29,13733,36
2019-03-30,7905,34
2019-03-31,4807,36
2019-04-01,10304,35
2019-04-02,10996,36
2019-04-03,10820,35
2019-04-04,10723,36
2019-04-05,10035,36
2019-04-06,9080,35
2019-04-07,4705,35
2019-04-08,7717,35
2019-04-09,9741,36
2019-04-10,9622,36
2019-04-11,9865,36
2019-04-12,10828,32
2019-04-13,7780,17
2019-04-14,3944,17
2019-04-15,10116,36
2019-04-16,10107,35
2019-04-17,11078,36
2019-04-18,9836,36
2019-04-19,5687,34
2019-04-20,4487,35
2019-04-21,6347,35
2019-04-22,9188,36
2019-04-23,11685,33
2019-04-24,10933,36
2019-04-25,9727,36
2019-04-26,11873,36
2019-04-27,10181,31
2019-04-28,5648,34
2019-04-29,9913,36
2019-04-30,9490,36
2019-05-01,9931,36
2019-05-02,10091,35
2019-05-03,10413,34
2019-05-04,5943,18
2019-05-05,4495,18
2019-05-06,9820,35
2019-05-07,11019,36
2019-05-08,10193,35
2019-05-09,9984,36
2019-05-10,10745,33
2019-05-11,10045,35
2019-05-12,7247,34
2019-05-13,9395,36
2019-05-14,9666,36
2019-05-15,12153,36
2019-05-16,9679,35
2019-05-17,9687,37
2019-05-18,6880,35
2019-05-19,5462,35
2019-05-20,6368,34
2019-05-21,11635,31
2019-05-22,10672,34
2019-05-23,11225,34
2019-05-24,11810,36
2019-05-25,11078,35
2019-05-26,9293,34
2019-05-27,9383,36
2019-05-28,11257,35
2019-05-29,10707,36
2019-05-30,12013,36
2019-05-31,9986,34
2019-06-01,6080,18
2019-06-02,7145,17
2019-06-03,11075,35
2019-06-04,10162,36
2019-06-05,10837,36
2019-06-06,11455,36
2019-06-07,15527,33
2019-06-08,8027,35
2019-06-09,5856,35
2019-06-10,14947,36
2019-06-11,12253,36
2019-06-12,10213,36
2019-06-13,11884,36
2019-06-14,12342,35
2019-06-15,8878,35
2019-06-16,7100,35
2019-06-17,19341,34
2019-06-18,11033,36
2019-06-19,12013,36
2019-06-20,11213,34
2019-06-21,11633,33
2019-06-22,12272,18
2019-06-23,7876,18
2019-06-24,9733,34
2019-06-25,11118,36
2019-06-26,13635,35
2019-06-27,11827,33
2019-06-28,9526,35
2019-06-29,7618,35
2019-06-30,6564,35
2019-07-01,6460,35
2019-07-02,9966,36
2019-07-03,10863,35
2019-07-04,12684,36
2019-07-05,10453,37
2019-07-06,8123,35
2019-07-07,8719,35
2019-07-08,10930,36
2019-07-09,9692,25
2019-07-10,11572,35
2019-07-11,14392,36
2019-07-12,11617,36
2019-07-13,10989,35
2019-07-14,10646,35
2019-07-15,9639,34
2019-07-16,10161,36
2019-07-17,14253,36
2019-07-18,11711,35
2019-07-19,10366,31
2019-07-20,9462,34
2019-07-21,6579,36
2019-07-22,10629,36
2019-07-23,12209,35
2019-07-24,11249,36
2019-07-25,10557,36
2019-07-26,15003,36
2019-07-27,13938,36
2019-07-28,8090,36
2019-07-29,10750,36
2019-07-30,11165,36
2019-07-31,11854,36
2019-08-01,11718,36
2019-08-02,9892,35
2019-08-03,13078,35
2019-08-04,6043,35
2019-08-05,5560,35
2019-08-06,11998,35
2019-08-07,12740,35
2019-08-08,12204,36
2019-08-09,12812,36
2019-08-10,13088,27
2019-08-11,8402,31
2019-08-12,10976,34
2019-08-13,12808,35
2019-08-14,14736,34
2019-08-15,10832,36
2019-08-16,18194,36
2019-08-17,14854,34
2019-08-18,10638,32
2019-08-19,14234,35
2019-08-20,15492,35
2019-08-21,13484,36
2019-08-22,15982,31
2019-08-23,19084,37
2019-08-24,25587,35
2019-08-25,13423,35
2019-08-26,15956,36
2019-08-27,12540,35
2019-08-28,18751,35
2019-08-29,20238,34
2019-08-30,18310,35
2019-08-31,19765,34
2019-09-01,13190,33
2019-09-02,11577,35
2019-09-03,6140,29
2019-09-04,8484,34
2019-09-05,11312,33
2019-09-06,14692,34
2019-09-07,7619,35
2019-09-08,4235,35
2019-09-09,8157,34
2019-09-10,9319,34
2019-09-11,9420,32
2019-09-12,11379,34
2019-09-13,10201,35
2019-09-14,8417,35
2019-09-15,8140,35
2019-09-16,7863,34
2019-09-17,8207,33
2019-09-18,8455,33
2019-09-19,9975,34
2019-09-20,11772,33
2019-09-21,9321,35
2019-09-22,5284,34
2019-09-23,8330,34
2019-09-24,8730,34
2019-09-25,11955,33
2019-09-26,8866,33
2019-09-27,11093,35
2019-09-28,12730,35
2019-09-29,7491,36
2019-09-30,7826,33
2019-10-01,7678,34
2019-10-02,8814,34
2019-10-03,9585,33
2019-10-04,9994,34
2019-10-05,9831,27
2019-10-06,7217,36
2019-10-07,8714,34
2019-10-08,8952,33
2019-10-09,9372,34
2019-10-10,9693,33
2019-10-11,9983,34
2019-10-12,7396,34
2019-10-13,7486,34
2019-10-14,7049,35
2019-10-15,11260,32
2019-10-16,8464,34
2019-10-17,9046,34
2019-10-18,9482,32
2019-10-19,11021,35
2019-10-20,6636,34
2019-10-21,8940,34
2019-10-22,8869,34
2019-10-23,9429,34
2019-10-24,9986,31
2019-10-25,10096,34
2019-10-26,7662,35
2019-10-27,3831,35
2019-10-28,8874,33
2019-10-29,9079,34
2019-10-30,8917,34
2019-10-31,7755,33
2019-11-01,10498,33
2019-11-02,7436,35
2019-11-03,5134,35
2019-11-04,7753,33
2019-11-05,9379,34
2019-11-06,9325,34
2019-11-07,10470,34
2019-11-08,10172,34
2019-11-09,8563,35
2019-11-10,5346,35
2019-11-11,7592,33
2019-11-12,9685,31
2019-11-13,8857,33
2019-11-14,8571,34
2019-11-15,9456,27
2019-11-16,6827,35
2019-11-17,6553,35
2019-11-18,8504,34
2019-11-19,7908,34
2019-11-20,9319,33
2019-11-21,8963,34
2019-11-22,10963,33
2019-11-23,7772,35
2019-11-24,5075,35
2019-11-25,9215,34
2019-11-26,9571,34
2019-11-27,9286,34
2019-11-28,8957,33
2019-11-29,11250,30
2019-11-30,8651,36
2019-12-01,5124,36
2019-12-02,7822,33
2019-12-03,8826,33
2019-12-04,9646,33
2019-12-05,9514,32
2019-12-06,9490,34
2019-12-07,7502,35
2019-12-08,4235,35
2019-12-09,8091,34
2019-12-10,9023,34
2019-12-11,9225,34
2019-12-12,8735,34
2019-12-13,9657,34
2019-12-14,7374,35
2019-12-15,4525,35
2019-12-16,7696,29
2019-12-17,9379,34
2019-12-18,8668,34
2019-12-19,8753,34
2019-12-20,10396,34
2019-12-21,8083,35
2019-12-22,6005,35
2019-12-23,7555,33
2019-12-24,3714,34
2019-12-25,3012,35
2019-12-26,4899,35
2019-12-27,5709,34
2019-12-28,7705,35
2019-12-29,4747,35
2019-12-30,7497,34
2019-12-31,11927,66
2020-01-01,2843,35
2020-01-02,6468,34
2020-01-03,6904,34
2020-01-04,6758,35
2020-01-05,3481,35
2020-01-06,7817,34
2020-01-07,7832,34
2020-01-08,8490,34
2020-01-09,7536,34
2020-01-10,7897,33
2020-01-11,4763,34
2020-01-12,4009,34
2020-01-13,7273,34
2020-01-14,8410,34
2020-01-15,7632,34
2020-01-16,8789,34
2020-01-17,9145,27
2020-01-18,7678,33
2020-01-19,4218,34
2020-01-20,7397,34
2020-01-21,7412,32
2020-01-22,8710,33
2020-01-23,7942,34
2020-01-24,8474,33
2020-01-25,5771,33
2020-01-26,3858,35
2020-01-27,7185,34
2020-01-28,8176,34
2020-01-29,7668,34
2020-01-30,7802,33
2020-01-31,8673,34
2020-02-01,6639,35
2020-02-02,4127,35
2020-02-03,8062,34
2020-02-04,6838,33
2020-02-05,8085,33
2020-02-06,7789,34
2020-02-07,8905,34
2020-02-08,5815,34
2020-02-09,3590,35
2020-02-10,7863,34
2020-02-11,8122,33
2020-02-12,7542,33
2020-02-13,9324,34
2020-02-14,8680,33
2020-02-15,5960,35
2020-02-16,4618,35
2020-02-17,4688,35
2020-02-18,9157,31
2020-02-19,7949,34
2020-02-20,8836,34
2020-02-21,10799,34
2020-02-22,7896,35
2020-02-23,5776,36
2020-02-24,7038,33
2020-02-25,11206,32
2020-02-26,6716,33
2020-02-27,7441,29
2020-02-28,8076,34
2020-02-29,5708,35
2020-03-01,3553,35
2020-03-02,6926,29
2020-03-03,8112,32
2020-03-04,8275,34
2020-03-05,7522,33
2020-03-06,7862,34
2020-03-07,7946,35
2020-03-08,3679,34
2020-03-09,6945,33
2020-03-10,7683,34
2020-03-11,6859,34
2020-03-12,6348,34
2020-03-13,4716,34
2020-03-14,1980,35
2020-03-15,1369,35
2020-03-16,1993,34
2020-03-17,1280,34
2020-03-18,1760,37
2020-03-19,1486,38
2020-03-20,1252,38
2020-03-21,376,18
2020-03-22,329,18
2020-03-23,960,38
2020-03-24,801,38
2020-03-25,642,38
2020-03-26,595,38
2020-03-27,611,38
2020-03-28,190,18
2020-03-29,182,18
2020-03-30,589,38
2020-03-31,560,37
2020-04-01,551,37
2020-04-02,540,37
2020-04-03,505,36
2020-04-04,187,18
2020-04-05,167,18
2020-04-06,484,37
2020-04-07,444,36
2020-04-08,387,19
2020-04-09,407,19
2020-04-10,161,18
2020-04-11,176,18
2020-04-12,147,18
2020-04-13,336,19
2020-04-14,409,19
2020-04-15,394,19
2020-04-16,388,19
2020-04-17,380,19
2020-04-18,191,17
2020-04-19,141,18
2020-04-20,389,19
2020-04-21,373,19
2020-04-22,399,19
2020-04-23,207,7
2020-04-24,404,19
2020-04-25,231,18
2020-04-26,161,18
2020-04-27,383,19
2020-04-28,386,19
2020-04-29,381,19
2020-04-30,378,19
2020-05-01,443,19
2020-05-02,254,18
2020-05-03,260,18
2020-05-04,431,19
2020-05-05,415,19
2020-05-06,448,19
2020-05-07,412,19
2020-05-08,433,19
2020-05-09,219,18
2020-05-10,250,18
2020-05-11,431,19
2020-05-12,420,19
2020-05-13,463,18
2020-05-14,446,19
2020-05-15,459,19
2020-05-16,417,18
2020-05-17,227,18
2020-05-18,230,18
2020-05-19,542,19
2020-05-20,553,19
2020-05-21,583,19
2020-05-22,614,19
2020-05-23,508,18
2020-05-24,358,18
2020-05-25,641,19
2020-05-26,612,19
2020-05-27,597,19
2020-05-28,574,19
2020-05-29,615,19
2020-05-30,572,18
2020-05-31,531,18
2020-06-01,739,19
2020-06-02,663,18
2020-06-03,651,19
2020-06-04,712,19
2020-06-05,730,19
2020-06-06,680,18
2020-06-07,551,16
2020-06-08,787,19
2020-06-09,771,19
2020-06-10,741,19
2020-06-11,792,19
2020-06-12,891,19
2020-06-13,795,18
2020-06-14,670,18
2020-06-15,872,19
2020-06-16,884,19
2020-06-17,889,19
2020-06-18,937,19
2020-06-19,1036,19
2020-06-20,991,18
2020-06-21,982,18
2020-06-22,970,19
2020-06-23,921,19
2020-06-24,1069,19
2020-06-25,1075,19
2020-06-26,1135,17
2020-06-27,926,18
2020-06-28,1013,17
2020-06-29,1168,19
2020-06-30,1284,19
2020-07-01,1036,19
2020-07-02,1283,19
2020-07-03,1392,19
2020-07-04,1241,18
2020-07-05,1147,18
2020-07-06,1259,19
2020-07-07,1267,19
2020-07-08,1272,19
2020-07-09,1296,19
2020-07-10,1399,19
2020-07-11,1053,18
2020-07-12,1131,16
2020-07-13,1329,19
2020-07-14,1441,19
2020-07-15,1473,19
2020-07-16,1277,19
2020-07-17,1644,19
2020-07-18,1494,18
2020-07-19,1027,18
2020-07-20,1478,19
2020-07-21,1492,19
2020-07-22,1285,19
2020-07-23,1388,16
2020-07-24,1711,19
2020-07-25,1600,18
2020-07-26,1302,18
2020-07-27,1411,19
2020-07-28,1508,19
2020-07-29,1595,19
2020-07-30,1687,19
2020-07-31,1954,18
2020-08-01,1651,18
2020-08-02,1081,18
2020-08-03,1160,18
2020-08-04,1524,19
2020-08-05,1865,19
2020-08-06,1834,19
2020-08-07,2031,19
2020-08-08,1713,18
2020-08-09,1440,18
2020-08-10,1731,19
2020-08-11,1749,19
2020-08-12,1955,19
2020-08-13,2075,19
2020-08-14,2149,19
2020-08-15,1956,18
2020-08-16,1417,18
2020-08-17,1766,19
2020-08-18,2036,19
2020-08-19,2012,19
2020-08-20,2135,19
2020-08-21,2347,19
2020-08-22,2115,17
2020-08-23,1669,17
2020-08-24,2019,19
2020-08-25,2062,19
2020-08-26,2122,19
2020-08-27,2156,19
2020-08-28,2272,16
2020-08-29,1928,18
2020-08-30,1810,18
2020-08-31,2099,19
2020-09-01,2238,19
2020-09-02,2041,19
2020-09-03,2323,19
2020-09-04,2532,19
2020-09-05,1934,19
2020-09-06,1546,19
2020-09-07,1305,20
2020-09-08,2047,30
2020-09-09,2121,30
2020-09-10,2198,30
2020-09-11,2473,30
2020-09-12,1932,19
2020-09-13,1285,19
2020-09-14,1989,30
2020-09-15,2064,30
2020-09-16,2104,30
2020-09-17,2167,30
2020-09-18,2309,30
2020-09-19,1665,18
2020-09-20,1366,19
2020-09-21,1954,30
2020-09-22,1983,30
2020-09-23,2023,30
2020-09-24,2045,30
2020-09-25,2343,30
2020-09-26,1630,17
2020-09-27,1301,19
2020-09-28,1876,30
2020-09-29,1892,30
2020-09-30,1815,30
2020-10-01,1893,30
2020-10-02,2020,30
2020-10-03,1337,19
2020-10-04,921,19
2020-10-05,1759,30
2020-10-06,1796,30
2020-10-07,1775,30
2020-10-08,1896,30
2020-10-09,2057,30
2020-10-10,1153,19
2020-10-11,1051,19
2020-10-12,1068,19
2020-10-13,1878,30
2020-10-14,1868,30
2020-10-15,1740,30
2020-10-16,1925,30
2020-10-17,1233,19
2020-10-18,956,19
2020-10-19,1667,30
2020-10-20,1719,30
2020-10-21,1691,30
2020-10-22,1686,29
2020-10-23,2022,30
2020-10-24,1247,19
2020-10-25,1038,19
2020-10-26,1674,30
2020-10-27,1720,30
2020-10-28,1909,30
2020-10-29,1834,30
2020-10-30,2010,30
2020-10-31,1176,19
2020-11-01,983,19
2020-11-02,1770,30
2020-11-03,1757,30
2020-11-04,1863,30
2020-11-05,1907,30
2020-11-06,2092,30
2020-11-07,1397,19
2020-11-08,1042,16
2020-11-09,1841,29
2020-11-10,1929,30
2020-11-11,1813,30
2020-11-12,1850,30
2020-11-13,1941,30
2020-11-14,1256,19
2020-11-15,814,19
2020-11-16,1640,30
2020-11-17,1685,30
2020-11-18,1658,30
2020-11-19,1736,30
2020-11-20,1737,21
2020-11-21,969,19
2020-11-22,808,19
2020-11-23,1427,30
2020-11-24,1436,29
2020-11-25,1479,30
2020-11-26,1515,30
2020-11-27,1428,24
2020-11-30,1460,30
2020-12-01,1560,30
2020-12-02,1456,30
2020-12-03,1513,29
2020-12-04,1558,30
2020-12-05,823,19
2020-12-06,741,19
2020-12-07,1436,30
2020-12-08,1492,30
